"","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","nyrs_since_last_renovation","zipcode","sqft_living15","sqft_lot15","daten"
"185",835000,4,2.75,3130,13412,2,0,0,3,9,2140,990,1993,22,"98052",2260,9984,126
"9979",755000,4,2.5,2660,10452,2,0,0,3,9,2660,0,1993,22,"98052",2890,9025,17
"1481",640000,4,2.5,2341,9594,2,0,0,3,9,2341,0,1997,18,"98052",2850,9421,53
"10156",750000,4,2.5,3020,13122,2,0,0,3,9,2540,480,1997,18,"98052",3020,10873,166
"11993",738000,3,2.5,2620,9112,2,0,0,3,9,2620,0,1995,20,"98052",2620,9067,241
"2413",810000,4,2.75,3010,10450,2,0,0,3,9,3010,0,1996,19,"98052",3010,10530,91
"1201",254000,3,2.5,1850,4597,2,0,0,3,8,1850,0,2003,12,"98042",2210,5000,7
"12725",130000,3,1,1100,5100,1,0,0,4,7,1100,0,1913,102,"98108",1450,5100,307
"15634",319500,4,2.75,2500,5100,1.5,0,0,4,7,1420,1080,1907,108,"98108",1430,5100,165
"15559",207000,3,2.5,1520,2550,2,0,0,3,7,1520,0,2005,10,"98108",1460,2550,123
"8356",205000,2,1.75,1740,5100,1,0,0,3,6,580,1160,1915,100,"98108",1440,5100,320
"7499",295000,3,1.5,1640,7222,2,0,0,4,7,1640,0,1908,107,"98108",1240,5100,66
"3015",219950,3,1.5,1070,6601,1,0,0,3,6,1070,0,1985,30,"98002",1030,6614,350
"11703",250000,3,2.25,1640,4420,2,0,0,4,7,1640,0,1918,32,"98002",1230,6632,175
"19",189000,2,1,1200,9850,1,0,0,4,7,1200,0,1921,94,"98002",1060,5095,217
"1041",218500,2,1,1600,8961,1,0,0,4,7,1390,210,1949,66,"98002",1502,6798,318
"16108",250000,4,1,1320,11212,1,0,0,5,6,1320,0,1914,101,"98002",1060,6766,314
"7860",570000,3,2.25,2010,6000,1,0,0,3,8,1330,680,1975,40,"98052",2080,8260,3
"6620",515000,4,2.25,2470,7800,1,0,0,3,8,1470,1000,1975,40,"98052",2050,8050,159
"14066",550120,5,2.5,2620,8050,1,0,0,3,8,1520,1100,1975,40,"98052",2030,7676,166
"15912",490000,3,1.75,1470,9750,1,0,0,4,7,1470,0,1978,37,"98052",1800,9600,318
"15857",539000,3,1.75,1790,9860,1,0,0,4,7,1410,380,1978,37,"98052",1820,9555,130
"4744",1490000,5,3.5,3620,7821,2,0,2,3,10,2790,830,1958,5,"98040",2690,9757,132
"5241",1038000,5,2.75,3050,8904,1,0,0,4,8,1650,1400,1956,59,"98040",2920,8904,321
"6445",343566,2,1,1100,4200,1,0,0,3,7,1100,0,1954,61,"98136",1240,4000,47
"1908",590000,3,2,3030,9374,1,0,1,4,7,2100,930,1959,56,"98136",1990,6012,140
"4127",480000,5,2.25,2240,5500,1,0,0,3,7,1490,750,1959,56,"98136",2010,6050,343
"14465",573300,2,1.75,1290,6600,1,0,2,3,7,870,420,1951,64,"98136",2380,7370,356
"8804",699950,3,3.25,2230,5460,1,0,1,4,8,1430,800,1977,38,"98136",2070,5600,327
"1025",446450,3,1.5,1480,7749,1,0,0,5,7,1480,0,1960,55,"98126",1140,5320,104
"1393",325000,2,1,1130,5070,1,0,0,4,7,1130,0,1955,60,"98146",860,6300,288
"10206",221900,2,1,780,6727,1,0,0,3,6,780,0,1939,76,"98168",1860,10124,166
"6239",380000,5,2.5,2130,8428,2,0,0,3,7,2130,0,2013,2,"98168",1500,11810,347
"15294",78000,2,1,780,16344,1,0,0,1,5,780,0,1942,73,"98168",1700,10387,4
"17018",170000,2,1,1500,18540,1,0,0,3,8,1500,0,1950,65,"98168",1700,9355,33
"7998",250000,2,1,1400,19570,1.5,0,0,3,6,1100,300,1929,86,"98168",2250,6500,306
"16961",499950,4,2.5,2910,20067,2,0,0,3,9,2910,0,2001,14,"98168",1730,21420,321
"18229",250000,2,1,1110,26051,1,0,0,3,6,1110,0,1951,64,"98168",2240,12255,27
"705",130000,2,1,880,9000,1,0,0,3,5,880,0,1928,87,"98188",1410,10000,105
"15637",235000,5,1,1500,9282,1.5,0,0,5,6,1500,0,1966,49,"98168",1520,9639,131
"9447",355000,2,1,1450,9150,1,0,0,4,7,1450,0,1965,50,"98188",1440,10636,307
"10403",406500,3,1.5,1970,10080,1,0,0,3,7,1970,0,1966,49,"98168",2240,10080,298
"6390",6e+05,5,4.5,4440,9784,2,0,0,3,10,4440,0,2012,3,"98168",2720,10080,145
"19564",171000,4,2,1520,19672,1,0,0,3,6,1020,500,1920,95,"98188",1810,7840,42
"217",1505000,5,3,3300,33474,1,0,3,3,9,1870,1430,1957,24,"98040",3836,20953,295
"11674",1730000,5,3.5,5000,26540,2,0,3,3,10,3410,1590,2008,7,"98040",3360,17398,59
"17981",2027000,4,3.75,4100,22798,1.5,0,3,5,11,2540,1560,1934,36,"98040",3880,18730,46
"19078",350000,2,1.75,1430,7921,1,0,0,3,7,1430,0,1983,32,"98146",1290,8040,318
"2918",372000,4,1.5,1780,7914,1.5,0,0,4,7,1780,0,1962,53,"98059",1350,8069,217
"17751",398950,4,3,3000,10297,2,0,0,3,8,3000,0,2003,12,"98042",2520,8366,101
"7578",363000,4,2.5,2180,9281,2,0,0,3,8,2180,0,2004,11,"98042",2520,9520,286
"19268",495000,3,3.5,1650,1577,2,0,0,3,7,1100,550,2012,3,"98109",1580,1280,185
"20152",248000,3,2.5,1870,4046,2,0,0,3,7,1870,0,2007,8,"98042",2130,4800,257
"20911",311850,4,2.5,1890,4158,2,0,0,3,8,1890,0,2014,1,"98042",2720,4549,311
"20929",287000,4,2.5,2660,4082,2,0,0,3,7,2660,0,2010,5,"98042",2390,4876,220
"6559",805000,3,2.75,2600,5875,1.5,0,2,5,8,1600,1000,1929,86,"98116",2260,5492,55
"8956",611206,1,1,1940,6300,1,0,3,3,8,1940,0,1963,52,"98116",2560,6300,368
"15363",720000,3,1.5,2180,5000,1,0,3,4,8,1090,1090,1941,74,"98116",2070,5000,215
"11761",590000,4,2.75,2240,5400,2,0,0,4,7,1540,700,1940,75,"98116",1830,5000,144
"16657",324900,4,2.25,2010,7280,2,0,0,4,8,2010,0,1988,27,"98032",1660,7579,228
"14392",430000,3,2,1550,6039,1,0,0,5,7,830,720,1942,73,"98126",1330,6042,67
"18973",471000,2,1.75,1240,6417,1,0,0,5,7,1240,0,1924,91,"98126",1800,6417,55
"1665",830000,3,2.5,3370,6550,2,0,2,4,8,2840,530,1912,14,"98126",1500,6550,110
"943",570000,4,3,1490,6766,1.5,0,1,5,7,1490,0,1915,100,"98136",1990,6526,173
"479",315000,2,1,630,6550,1,0,0,3,5,630,0,1918,97,"98126",1420,6550,339
"10313",398000,3,1,1480,6550,1.5,0,0,4,6,1480,0,1925,90,"98126",1200,6550,202
"9357",370000,2,1,820,6550,1,0,0,3,7,820,0,1949,3,"98126",1640,6550,97
"161",255000,5,2.25,2060,8632,1,0,0,3,7,1030,1030,1962,53,"98146",1010,11680,5
"3102",190000,3,1.75,1100,9452,1,0,0,3,6,1100,0,1942,73,"98146",1350,9452,202
"1378",225000,3,2,1700,11475,1,0,0,5,6,970,730,1945,70,"98146",1560,11475,55
"15612",275000,4,1.75,1680,19405,1,0,0,4,7,1560,120,1959,56,"98055",2000,12900,346
"15987",129000,2,1,1150,30184,1,0,0,3,6,1150,0,1950,65,"98055",1670,19684,42
"4253",170000,3,0.75,1040,42180,1,0,0,2,6,1040,0,1947,68,"98055",1270,24090,151
"4169",359950,3,2.5,1980,7800,2,0,0,3,8,1980,0,1999,16,"98055",1700,20580,200
"19436",333000,4,2,2750,9001,1,0,0,3,8,2750,0,2008,7,"98055",1340,11050,166
"17200",212000,3,1,1000,9450,1,0,0,3,6,1000,0,1962,53,"98055",1300,13500,347
"18169",252000,3,1,1170,9730,1,0,0,3,7,1170,0,1968,29,"98055",1680,10125,73
"10868",750000,4,1.5,2060,4000,1.5,0,2,3,7,1580,480,1920,25,"98103",1160,4000,370
"9883",393000,2,1,980,3350,1,0,0,4,7,980,0,1925,90,"98103",1260,4000,144
"20777",8e+05,4,2.5,2930,5000,2,0,0,3,9,2760,170,2007,8,"98006",3230,5778,88
"1397",1062500,4,4,5320,20041,2,0,0,3,11,5320,0,2003,12,"98075",4640,17268,73
"15913",1425000,4,5,4630,24054,2,0,3,3,11,4630,0,2005,10,"98075",4630,17584,326
"14686",1465000,4,4,4930,22093,2,0,3,3,12,4930,0,2004,11,"98075",4630,18889,245
"10607",959900,4,3.75,3550,15151,2,0,0,3,11,3550,0,2004,11,"98075",4340,15151,106
"8488",945000,5,3.5,4380,14925,2,0,0,3,11,4380,0,2003,12,"98075",4310,14633,334
"3477",1165000,5,3.75,4220,15959,2,0,0,3,11,4220,0,2004,11,"98075",4630,16531,172
"19227",1059000,4,3.5,4460,16271,2,0,2,3,11,4460,0,2001,14,"98075",4540,17122,152
"5025",1060000,4,5.25,4140,14757,2,0,2,3,11,4140,0,2005,10,"98075",4440,15523,222
"10982",1050000,4,3.25,4400,16625,2,0,0,3,11,4400,0,2003,12,"98075",4440,15523,11
"5719",1098000,4,3.5,4570,16219,2,0,0,3,11,4570,0,2002,13,"98075",4700,16500,360
"10284",1025000,5,3.5,5050,16500,2,0,2,3,11,5050,0,2001,14,"98075",4570,16500,158
"12430",1169000,5,4.25,4610,13252,2,0,4,3,11,4610,0,2004,11,"98075",4400,15154,108
"2143",765000,4,4,3010,7221,2,0,0,3,10,3010,0,2004,11,"98075",3490,7518,67
"13741",750000,4,2.5,3210,8938,2,0,0,3,10,3210,0,2005,10,"98075",3740,8108,181
"3782",759000,5,2.75,3490,8230,2,0,0,3,10,3490,0,2005,10,"98075",3480,7331,277
"376",730000,4,2.5,3230,7331,2,0,0,3,10,3230,0,2004,11,"98075",3480,7447,18
"572",720000,4,4,3200,7708,2,0,0,3,10,3200,0,2004,11,"98075",3480,7944,266
"14661",802500,4,3.75,3320,8030,2,0,0,3,10,3320,0,2005,10,"98075",3740,8030,80
"5625",885000,4,2.5,4090,11225,2,0,0,3,10,4090,0,2005,10,"98075",3510,8762,118
"15689",889000,4,3.5,4070,10976,2,0,0,3,10,4070,0,2004,11,"98075",4080,10106,347
"1887",785500,4,4,3280,8448,2,0,0,3,10,3280,0,2007,8,"98075",3730,8030,164
"1570",797000,3,3.5,3500,9473,2,0,0,3,10,3500,0,2008,7,"98075",3510,7833,286
"10172",790000,4,3.5,3560,6098,2,0,0,3,10,3560,0,2006,9,"98075",3660,6846,70
"13472",745000,4,3.25,3490,7024,2,0,0,3,10,3490,0,2006,9,"98075",3450,6866,39
"5224",852500,5,3.75,3830,8131,2,0,0,3,10,3830,0,2005,10,"98075",3570,7290,227
"5264",815000,4,2.5,3880,7208,2,0,0,3,10,3880,0,2006,9,"98075",3280,7221,313
"21487",1459000,4,4,4620,130208,2,0,0,3,10,4620,0,2014,1,"98024",4620,131007,361
"7327",275000,3,1,1320,11090,1,0,0,3,7,1320,0,1955,60,"98155",1320,8319,194
"21293",355000,3,2.25,1430,4777,2,0,0,3,7,1430,0,2010,5,"98059",1639,3854,171
"20298",333000,3,2.5,1520,3041,2,0,0,3,7,1520,0,2009,6,"98059",1820,3229,203
"21476",330000,3,2.5,1520,3003,2,0,0,3,7,1520,0,2009,6,"98059",1820,3030,146
"15258",250000,3,2.5,1610,6600,2,0,0,3,7,1610,0,1994,21,"98003",1660,7689,132
"10863",213950,3,1,1430,7000,1,0,0,3,6,1430,0,1968,47,"98023",1050,7700,103
"204",226500,3,1.5,1300,7370,1,0,0,4,7,900,400,1976,39,"98023",1430,7500,94
"978",237500,3,1.75,1050,7854,1,0,0,4,7,1050,0,1975,40,"98023",1360,7668,326
"916",645000,3,1.75,2070,5500,1,0,0,4,7,1130,940,1946,69,"98115",1800,4400,81
"12014",263000,3,2.25,1590,7748,2,0,0,4,7,1590,0,1991,24,"98003",1590,7606,13
"14422",115000,3,1.75,1080,7942,1,0,0,3,7,1080,0,1981,34,"98023",1380,8244,298
"10052",249900,4,2,1500,7854,1.5,0,0,3,7,1500,0,1983,32,"98023",1500,7334,154
"18392",230000,3,2.25,1500,7210,1,0,0,3,7,1150,350,1984,31,"98023",1500,7210,285
"19160",252000,3,2,1540,7210,2,0,0,4,7,1540,0,1984,31,"98023",1500,7210,201
"10376",276200,3,2.5,1480,7210,1,0,0,3,7,1180,300,1986,29,"98023",1690,7396,146
"6504",219950,3,2.25,1500,7615,1,0,0,3,7,1150,350,1984,31,"98023",1540,8649,33
"4589",268000,3,2.5,1850,6676,2,0,0,3,7,1850,0,1986,29,"98023",1700,6663,159
"11185",225000,3,2,1320,5665,1,0,0,3,7,1320,0,1986,29,"98023",1336,7080,117
"3601",248000,4,3.5,1850,6519,2,0,0,3,7,1130,720,1986,29,"98023",1280,6664,14
"3586",221000,3,2.25,1430,5999,2,0,0,3,7,1430,0,1987,28,"98023",1600,5999,102
"7111",240000,3,2.25,1460,5818,1,0,0,3,7,1140,320,1986,29,"98023",1490,6031,215
"2264",270000,4,2.5,1750,6397,2,0,0,3,7,1750,0,1988,27,"98023",1940,6502,332
"8908",259950,4,2,1610,6650,1,0,0,3,7,1610,0,1989,26,"98023",1960,6650,263
"13151",260000,4,2.5,1990,6671,2,0,0,3,7,1990,0,1989,26,"98023",1862,6566,18
"15604",275000,3,2.5,1870,6821,2,0,0,3,7,1870,0,1989,26,"98023",1970,6821,87
"3297",282000,4,2.75,2390,7330,2,0,0,3,7,2390,0,1989,26,"98023",1980,6735,84
"3338",299000,3,2.5,2450,7062,2,0,0,3,8,2450,0,1993,22,"98023",1960,7200,213
"17723",241000,3,2,1520,7131,1,0,0,3,8,1520,0,1993,22,"98023",1890,7379,87
"6443",278500,4,2.5,1940,6206,2,0,0,3,7,1940,0,1990,25,"98023",2060,7092,39
"13579",304400,4,2.75,2140,8100,2,0,0,4,7,2140,0,1990,25,"98023",1960,7002,77
"15408",273000,4,3,1990,6180,2,0,0,3,7,1990,0,1990,25,"98023",1910,6180,20
"14621",310000,4,2.75,2370,7320,2,0,0,3,7,2370,0,1989,26,"98023",1960,7320,138
"7874",435000,3,1.75,1310,8065,1,0,0,4,6,1310,0,1948,67,"98117",1420,8100,48
"8935",399950,3,1,1470,7930,1,0,0,3,7,1070,400,1950,65,"98177",1440,8100,116
"2786",401000,2,1,840,8100,1,0,0,4,7,840,0,1948,67,"98177",1100,8220,182
"14360",405000,3,1,1410,8053,1,0,0,4,7,1410,0,1951,64,"98177",1170,8042,53
"845",456500,4,3.5,2000,2309,3,0,0,3,8,2000,0,2008,7,"98177",1440,1548,221
"7961",305000,3,1.75,1460,7862,1,0,0,3,7,1460,0,1965,50,"98155",2200,9293,318
"10097",299000,4,2.5,2300,8100,1,0,0,4,8,1360,940,1979,36,"98023",1910,7630,369
"11435",250000,3,1.75,1480,3900,1,0,0,4,7,1480,0,1980,35,"98023",1830,6956,171
"9328",218000,3,1.75,1850,7684,1,0,0,3,8,1320,530,1979,36,"98023",1940,7630,4
"4862",220000,4,2.25,1950,7280,2,0,0,4,8,1950,0,1979,36,"98023",1910,7280,193
"16611",270000,3,2,2330,8000,1,0,0,3,7,1390,940,1986,29,"98023",1570,7227,180
"19478",278000,5,1.5,1820,8712,1,0,0,5,7,1090,730,1960,55,"98032",1820,8712,319
"17136",146000,2,1,780,9750,1,0,0,3,6,780,0,1937,78,"98168",1670,9750,283
"6268",3e+05,3,2.25,1660,5128,2,0,0,3,7,1660,0,2001,14,"98019",1680,4652,60
"18945",345000,3,2.5,1620,5992,2,0,0,3,7,1620,0,2001,14,"98019",1620,4644,124
"18622",559950,5,3.5,2450,8193,2,0,0,3,9,2450,0,2005,10,"98028",2310,8193,257
"8660",355000,2,2.25,1330,10838,2,0,0,3,8,1330,0,1985,30,"98028",1390,10310,56
"13777",402500,3,2.25,2160,9540,2,0,0,3,8,2160,0,1979,36,"98028",1720,12593,363
"14568",4e+05,3,1.75,1560,8456,1,0,0,5,7,1560,0,1970,45,"98028",2230,13109,143
"8928",515000,4,2.5,2800,21370,2,0,0,3,8,2800,0,2003,12,"98028",1880,9336,215
"5331",285000,3,1.5,1480,7117,1,0,0,3,7,1170,310,1960,55,"98028",2230,14775,320
"11970",249000,3,1,1090,10296,1,0,0,4,6,1090,0,1950,65,"98028",1910,10296,224
"4655",475000,6,3,3470,117612,1.5,0,0,3,7,3470,0,1924,91,"98028",2120,17100,4
"18294",420000,2,1,960,112384,1,0,0,3,7,960,0,1955,60,"98028",1210,24875,173
"9232",230000,3,0.75,1040,15000,1,0,0,3,6,1040,0,1941,74,"98028",1410,19000,87
"10644",250000,3,1.5,1170,9848,1,0,0,3,7,1170,0,1963,52,"98028",2220,5542,336
"4065",383000,3,2.5,1720,10031,2,0,0,3,8,1720,0,1993,22,"98028",2280,5845,235
"7759",480000,3,1.5,2100,67269,1,0,0,4,7,1220,880,1949,66,"98028",1610,15999,119
"15257",375000,3,1.75,1160,22470,1,0,0,4,7,1160,0,1976,39,"98028",1940,15999,46
"3145",325000,4,1.75,1370,9993,1,0,0,3,6,1370,0,1918,97,"98028",1650,11592,350
"10377",630000,5,3.5,4060,8309,2,0,0,3,9,2960,1100,2001,14,"98028",1730,11711,356
"13",310000,3,1,1430,19901,1.5,0,0,4,7,1430,0,1927,88,"98028",1780,12697,26
"7673",415000,3,1,2020,19210,1,0,0,3,6,1760,260,1949,66,"98028",1780,14469,111
"9596",236000,3,1.75,1560,10919,1,0,0,3,7,1560,0,1975,40,"98023",1730,10919,196
"8734",540000,4,4.25,1960,3565,2,0,0,3,7,1960,0,1940,12,"98116",1920,5750,25
"2536",595000,4,2.25,1920,3225,1.5,0,0,5,7,1300,620,1923,92,"98116",1960,3750,140
"3211",680000,3,1.75,1660,5750,1,0,0,4,7,1080,580,1909,106,"98116",2060,5560,321
"12951",250000,3,1.75,1628,286355,1,0,0,3,7,1628,0,1996,19,"98092",1490,216344,291
"13608",495000,4,3,3620,403693,2,0,2,3,9,3620,0,1980,35,"98022",2230,148811,213
"8766",550000,3,2.5,2920,169448,2.5,0,0,3,9,2920,0,1990,25,"98022",2360,326097,94
"4913",549000,2,1,2034,13392,1,1,4,5,7,1159,875,1947,68,"98070",1156,15961,53
"14048",169000,3,1.5,1470,18459,2,0,0,4,6,1470,0,1916,99,"98023",1750,16074,109
"8451",425000,3,2.75,3610,107386,1.5,1,3,3,8,3130,480,1918,53,"98023",2630,42126,315
"9857",629000,3,1.75,1460,12367,2,1,4,4,8,1120,340,1970,45,"98023",1970,18893,280
"21471",249000,3,1,1030,24750,1,0,2,3,5,1030,0,1943,72,"98023",2810,28800,252
"5285",210000,4,1,1200,43560,1,0,0,3,5,1200,0,1968,47,"98042",1400,54450,98
"8970",397900,3,2.75,2500,35245,1,0,0,3,7,1580,920,2000,15,"98042",2060,153766,326
"2988",392000,4,2.5,2300,41167,2,0,0,3,7,2300,0,1988,27,"98042",2300,21765,186
"7812",490000,3,1.75,2020,215622,2,0,0,4,7,2020,0,1975,40,"98070",1810,215622,371
"9063",427500,3,1.5,1900,43186,1.5,0,0,4,7,1300,600,1971,44,"98038",2080,108028,216
"7983",520000,2,1,910,5000,1,0,0,3,7,910,0,1924,91,"98107",1050,5000,151
"11963",325000,4,1,1400,9384,1.5,0,0,4,6,1400,0,1948,67,"98106",1600,8432,125
"19201",464950,3,2,2190,19800,1,0,0,3,7,2190,0,1994,21,"98146",1640,9719,321
"19332",399888,4,1,2370,30200,1.5,0,0,4,7,1570,800,1948,67,"98146",1640,9719,224
"14631",283000,4,2,2100,8160,1,0,0,3,7,1200,900,1959,56,"98106",1140,8160,221
"8221",165000,2,1,640,7768,1,0,0,3,6,640,0,1942,73,"98106",840,7424,70
"2990",425000,4,2.5,1920,9000,2,0,0,2,7,1920,0,1989,26,"98126",1530,10474,343
"18114",240000,4,1,1910,16320,1.5,0,0,3,6,1910,0,1934,81,"98106",1380,9000,38
"12419",244900,1,1,620,8261,1,0,0,3,5,620,0,1939,76,"98106",1180,8244,220
"9898",335000,3,1.75,1260,17000,1,0,0,3,7,1260,0,1994,21,"98146",1540,7213,363
"18866",3e+05,2,1,970,13700,1,0,0,3,6,970,0,1949,66,"98106",1570,10880,19
"20187",535000,4,2.75,2360,15100,1,0,0,3,8,2360,0,2014,1,"98146",1440,13346,110
"5518",309000,3,1,1300,7200,1,0,0,4,7,1300,0,1952,63,"98146",1740,7100,361
"8101",303000,2,2,970,9750,1,0,0,5,6,970,0,1940,75,"98146",1850,9000,69
"8841",485000,4,2.25,1900,7200,1,0,0,3,8,1370,530,1977,38,"98146",2030,8008,67
"13762",102500,2,1,820,4320,1,0,0,3,5,820,0,1937,78,"98106",780,7424,60
"15547",295000,3,2.25,1330,7200,1,0,0,3,7,900,430,1974,41,"98146",1380,9570,173
"2784",359950,3,1.75,1570,6975,1,0,0,3,7,1040,530,1979,36,"98126",1280,7813,130
"7266",540000,3,2.5,1970,14876,1,0,0,3,7,1320,650,1981,34,"98146",2030,8008,364
"12738",530000,3,2.25,2190,220414,1,0,0,4,7,1330,860,1976,39,"98059",2550,175982,356
"10180",471000,4,2.25,3410,57063,2,0,0,4,8,2410,1000,1978,37,"98059",2870,145490,328
"7282",440000,3,2,1860,217800,2,0,2,3,8,1860,0,1998,17,"98059",2500,217800,67
"21288",625000,4,3.25,2730,54014,1,0,0,3,9,1560,1170,2007,8,"98059",2730,111274,0
"13831",356000,2,1,1430,365904,1,0,0,3,7,1010,420,1991,24,"98065",2300,253519,206
"9910",563000,4,1,1410,3376,1.5,0,0,5,7,1410,0,1911,104,"98107",1040,3600,60
"12162",6e+05,3,1.75,1670,39639,1,0,0,4,8,1670,0,1976,23,"98075",2330,30492,3
"12732",575000,2,1,1230,2726,1.5,0,0,3,7,880,350,1920,95,"98117",1710,3750,145
"12491",530000,3,1.75,1550,3680,1,0,0,3,7,1050,500,1927,88,"98117",1560,4000,40
"7652",510000,6,4.5,3300,7561,2,0,0,3,8,3300,0,1980,35,"98052",2470,7561,81
"15896",510000,6,4.5,3300,7480,2,0,0,3,8,3300,0,1980,35,"98052",2470,7561,81
"10608",510000,6,4.5,3300,7200,2,0,0,3,8,3300,0,1980,35,"98052",2470,7561,82
"8444",2140000,4,3.75,5150,453895,2,0,3,3,11,4360,790,1997,18,"98053",2500,215186,207
"13282",365500,2,1,1140,15624,1,0,0,4,6,1140,0,1909,106,"98177",2110,15493,215
"14914",415000,4,1.5,1840,11367,1.5,0,0,4,7,1840,0,1950,65,"98177",1690,9800,68
"20058",434900,3,2,1520,5040,2,0,0,3,7,1520,0,1977,9,"98177",1860,8710,125
"14451",345000,1,1,540,10125,1,0,0,3,5,540,0,1961,54,"98177",1840,10125,164
"6479",417500,5,1.75,2060,10911,1,0,0,4,7,1360,700,1954,61,"98177",2060,9688,298
"19408",525000,4,2.75,2300,26650,1,0,0,4,8,2300,0,1950,65,"98177",2000,9879,371
"16879",469000,5,2.5,2690,11745,1,0,0,3,8,1790,900,1960,55,"98177",2670,7905,69
"20392",7e+05,4,2.5,3040,7200,2,0,0,3,9,3040,0,2008,7,"98177",2360,8245,257
"9397",475000,4,2.25,1800,7200,1,0,0,3,7,1230,570,1979,36,"98177",2260,7498,328
"8978",398000,3,1.75,1830,27468,1,0,0,3,7,1830,0,1954,61,"98028",1860,10180,186
"7223",380000,4,2.25,2150,20181,1,0,0,3,7,1090,1060,1963,52,"98028",2150,10480,48
"6089",450000,3,1.75,1540,61419,1,0,0,3,7,1540,0,1967,48,"98028",3790,8529,118
"6337",4e+05,3,1.75,1530,10731,1,0,0,3,7,1530,0,1986,29,"98028",2100,12593,33
"18804",445000,3,3,1970,24318,1,0,0,3,8,1970,0,2010,5,"98028",2150,14695,14
"15552",547000,5,3,2200,103237,1,0,0,3,7,1160,1040,1971,44,"98072",2300,103237,258
"7571",395000,4,2.25,1780,10748,2,0,0,4,8,1780,0,1964,51,"98072",2070,37680,251
"17753",799000,4,2.5,3170,94855,1,0,0,4,9,1910,1260,1978,37,"98072",2590,65340,318
"12983",2e+05,4,1,1020,42966,1.5,0,0,4,6,1020,0,1922,93,"98072",2250,37680,335
"3723",775000,3,3.5,2690,104544,2,0,0,3,8,2690,0,1948,25,"98072",2300,81698,174
"12139",525000,3,1.75,2300,43560,1,0,0,4,7,1350,950,1979,36,"98077",2320,57000,96
"6624",550000,3,1.75,1880,45738,1,0,0,4,8,1410,470,1980,35,"98072",2340,38556,201
"18795",1e+06,3,2.25,3040,52302,1,0,0,3,9,3040,0,2005,10,"98072",2070,38600,212
"5532",377000,4,1.75,1800,8385,1,0,0,5,6,900,900,1950,65,"98133",1770,8385,334
"2360",262000,4,2.5,2020,6236,2,0,0,3,7,2020,0,2002,13,"98001",1940,5076,6
"19143",655000,4,2.75,3160,8197,1,0,0,3,8,1580,1580,1962,53,"98115",2050,8197,96
"2516",179900,2,1,680,6400,1,0,0,3,6,680,0,1943,72,"98168",1240,7800,137
